Order,Sales_in_thousands,Vehicle_type,Order Date,dealership,color,Power_perf_factor,Fuel_efficiency,Fuel_capacity,Engine_size,Horsepower,Wheelbase,Width,Length,Price_in_lakhs
4100311,18.24,passenger,2023-10-16,"747, Los Angeles, CA, 90001",#911b93,39.3913,21.6,20,2.6,243,102.53,66.03,295.81,7.51L
4100313,16.16,passenger,2023-09-14,"255, Portland, OR, 97035",#30685b,113.22724,27.2,24,5.2,248,94.03,86.05,163.48,25.04L
4100321,16.52,passenger,2023-09-25,"635, Seattle, WA, 98101",#e990b0,106.14874,20.5,25,4.83,265,99.02,85.82,203.5,6.53L
4100323,14.85,passenger,2023-11-17,"538, Los Angeles, CA, 90001",#042b37,94.32616,23.5,20,5.69,204,87.36,68.65,199.05,4.56L
4100326,15.67,passenger,2023-10-22,"629, Seattle, WA, 98101",#38959a,165.215,24.4,21,2.59,174,105.86,75.46,220.75,28.04L
4100332,14.69,passenger,2023-12-06,"870, San Francisco, CA, 94016",#4e87cb,56.75193,16.1,15,3.3,166,106.27,75.23,255.49,26.34L
4100333,10.06,car,2023-11-13,"188, San Francisco, CA, 94016",#440f04,74.61902,21.7,23,5.18,164,84.59,79.49,195.73,14.34L
4100336,14.48,car,2023-07-12,"106, Boston, MA, 02215",#6662cf,156.47471,17.8,15,1.89,224,81.3,78.46,245.13,14.55L
4100338,6.00,car,2023-10-19,"151, San Francisco, CA, 94016",#e9adb6,88.51493,26.2,20,2.71,160,82.12,73.63,181.09,21.42L
4100346,10.87,passenger,2023-12-20,"788, Los Angeles, CA, 90001",#8afd84,113.46647,26.9,27,2.37,242,88.32,61.44,220.79,20.19L
4100347,13.68,car,2023-10-11,"769, San Francisco, CA, 94016",#f4982b,99.63538,17.8,15,1.92,153,94.78,65.17,201.21,10.37L
4100352,5.98,car,2023-07-03,"435, Atlanta, GA, 30301",#c849d5,48.21365,18.0,15,2.96,186,105.13,76.54,218.25,8.26L
4100353,16.90,passenger,2023-08-20,"266, New York City, NY, 10001",#68babf,100.259,29.7,23,2.94,150,92.38,72.88,242.69,5.11L
4100354,10.66,passenger,2023-08-14,"640, Los Angeles, CA, 90001",#afae38,184.03689,26.2,24,5.63,270,109.47,74.5,278.16,25.56L
4100356,6.15,car,2023-10-10,"572, Portland, ME, 04101",#ace615,186.6939,29.5,15,1.35,228,109.8,72.03,263.23,22.35L
4100358,4.82,car,2023-09-18,"356, Boston, MA, 02215",#283ae3,97.96639,28.7,26,3.3,231,104.45,68.15,209.78,19.56L
4100359,19.58,car,2023-09-14,"604, Boston, MA, 02215",#e7649b,75.42068,27.4,28,2.0,200,88.71,76.85,166.37,7.11L
4100361,19.18,car,2023-10-06,"151, San Francisco, CA, 94016",#d04fec,130.99258,26.4,16,4.16,173,105.68,66.21,274.87,7.32L
4100363,11.61,car,2023-07-21,"535, Austin, TX, 73301",#a197b8,117.86885,17.9,21,1.04,223,81.49,89.62,293.23,26.91L
4100365,17.64,passenger,2023-08-14,"343, Los Angeles, CA, 90001",#312187,144.07874,21.0,24,2.5,253,97.66,62.83,256.15,27.74L
4100366,3.19,car,2023-08-15,"29, Seattle, WA, 98101",#39a234,164.24673,16.9,17,2.16,247,91.45,75.01,228.75,19.99L
4100368,15.12,passenger,2023-12-27,"156, San Francisco, CA, 94016",#383e6b,110.79556,18.6,17,5.5,231,104.45,79.18,262.03,5.02L
4100369,18.66,car,2023-12-26,"607, San Francisco, CA, 94016",#4e3eed,78.72729,18.5,16,4.83,183,105.08,72.24,169.21,28.39L
4100370,5.01,passenger,2023-09-21,"940, New York City, NY, 10001",#ad5b6c,159.84032,18.6,27,1.43,275,98.78,70.08,174.33,9.75L
4100375,4.34,passenger,2023-09-22,"37, Los Angeles, CA, 90001",#4a6605,83.6247,24.7,19,1.4,224,81.36,80.16,177.88,14.16L
4100381,9.73,car,2023-08-15,"692, Boston, MA, 02215",#b02f09,189.57686,20.1,19,2.85,259,87.56,71.63,181.58,8.54L
4100382,15.18,car,2023-07-19,"735, San Francisco, CA, 94016",#949836,69.11192,27.1,20,3.74,276,85.71,70.8,264.1,24.90L
4100385,9.40,car,2023-08-06,"712, San Francisco, CA, 94016",#35d40c,119.19754,27.2,25,5.11,226,103.63,65.2,264.57,16.31L
4100386,10.46,passenger,2023-10-10,"952, Seattle, WA, 98101",#762a27,118.62359,17.5,26,1.44,235,94.23,61.58,170.52,25.82L
4100387,19.76,car,2023-10-14,"663, New York City, NY, 10001",#297924,103.77045,15.5,16,2.17,180,83.15,83.98,215.3,3.78L
4100393,10.13,car,2023-10-23,"426, Los Angeles, CA, 90001",#64ceb8,127.01277,23.2,19,5.93,218,98.99,61.4,214.17,27.15L
4100396,12.78,car,2023-08-24,"568, Portland, ME, 04101",#70bdad,48.74865,25.3,19,1.2,159,104.95,80.26,239.91,14.93L
4100399,17.58,car,2023-07-23,"645, Los Angeles, CA, 90001",#f71347,128.77171,21.3,15,1.26,186,106.71,61.33,283.07,21.53L
4100400,11.92,car,2023-07-07,"843, New York City, NY, 10001",#266dd6,72.85832,23.4,18,4.41,277,109.17,74.17,262.03,6.17L
4100402,15.62,car,2023-10-02,"361, Boston, MA, 02215",#672dd9,96.80592,25.0,23,5.14,175,106.69,67.08,191.97,25.99L
4100405,11.01,passenger,2023-10-06,"293, San Francisco, CA, 94016",#9f43e7,87.44196,16.0,27,2.15,228,81.65,74.14,260.42,27.27L
4100408,5.83,car,2023-10-19,"850, Los Angeles, CA, 90001",#461634,60.66246,23.3,28,1.87,243,86.47,80.8,281.9,28.24L
4100409,16.36,passenger,2023-09-13,"636, New York City, NY, 10001",#11d194,38.52947,20.1,21,1.27,271,80.39,63.96,189.66,17.15L
4100411,9.66,car,2023-08-05,"828, Seattle, WA, 98101",#606ad7,129.01886,22.5,23,2.14,159,82.97,69.57,265.01,11.13L
4100413,17.45,car,2023-09-13,"329, San Francisco, CA, 94016",#520f9f,33.09688,15.2,24,3.49,253,88.39,61.9,271.46,25.87L
4100415,19.65,passenger,2023-11-11,"502, Seattle, WA, 98101",#a4d945,185.97775,19.0,19,2.77,255,93.21,71.47,223.65,14.15L
4100419,7.25,car,2023-10-01,"384, San Francisco, CA, 94016",#9b0a94,163.51963,28.2,20,5.51,184,92.94,64.35,231.31,15.98L
4100422,9.82,car,2023-11-23,"112, New York City, NY, 10001",#660006,44.83741,16.7,25,1.19,237,105.81,60.5,176.75,22.14L
4100425,5.11,car,2023-09-16,"693, New York City, NY, 10001",#7c18b6,65.84375,24.7,16,2.8,251,84.36,70.55,271.28,10.19L
4100426,15.22,car,2023-10-28,"210, San Francisco, CA, 94016",#8ed8a8,64.38747,18.1,16,4.4,248,93.86,65.03,245.99,26.11L
4100429,12.42,car,2023-10-09,"246, Los Angeles, CA, 90001",#d81162,91.94168,18.9,15,4.24,215,100.13,69.08,176.54,24.35L
4100430,16.90,car,2023-12-09,"893, Boston, MA, 02215",#0f2132,105.51746,26.3,26,5.9,170,81.69,62.37,184.0,10.85L
4100436,8.18,car,2023-12-24,"329, Dallas, TX, 75001",#f488bf,64.85778,24.3,22,3.47,277,93.59,80.28,253.55,8.29L
4100443,12.58,passenger,2023-11-12,"73, San Francisco, CA, 94016",#945c39,164.88763,28.2,26,1.47,262,81.02,82.81,185.11,3.45L
4100450,11.59,car,2023-09-08,"34, New York City, NY, 10001",#705f76,90.95798,17.3,24,1.71,227,92.98,74.28,272.28,14.14L
4100451,10.39,car,2023-10-22,"228, New York City, NY, 10001",#d26860,186.17912,16.7,17,4.71,202,98.49,60.78,239.62,24.93L
4100457,13.92,passenger,2023-09-08,"221, Atlanta, GA, 30301",#089190,77.45115,16.2,28,2.91,165,108.43,61.9,293.62,16.32L
4100459,12.24,car,2023-10-03,"285, San Francisco, CA, 94016",#fe64d6,95.00356,19.9,22,5.6,168,83.58,67.13,188.84,28.30L
4100461,15.94,car,2023-08-19,"840, Los Angeles, CA, 90001",#49d9bf,51.17184,27.9,27,4.68,155,83.16,69.51,254.01,26.60L
4100467,17.70,car,2023-11-26,"293, New York City, NY, 10001",#adc335,99.03863,21.7,22,5.77,209,80.57,62.35,255.24,4.57L
4100471,9.55,passenger,2023-11-01,"704, New York City, NY, 10001",#e18315,39.98553,26.7,22,5.35,217,106.04,67.7,234.5,25.53L
4100472,13.24,passenger,2023-10-17,"440, Boston, MA, 02215",#5650e3,55.22331,24.1,23,2.38,172,107.3,73.64,272.23,20.47L
4100474,9.98,car,2023-09-07,"735, Dallas, TX, 75001",#9b5e4f,95.89027,27.2,23,1.56,169,87.91,61.68,267.41,6.26L
4100476,4.55,car,2023-12-06,"62, Los Angeles, CA, 90001",#9bda12,109.89934,18.6,15,2.41,223,104.36,64.35,222.49,28.88L
4100477,5.00,car,2023-10-06,"209, New York City, NY, 10001",#9c6c18,178.77992,26.1,15,1.94,201,90.91,73.66,184.26,5.00L
4100478,5.06,passenger,2023-11-11,"21, Boston, MA, 02215",#9653fe,158.0406,24.6,21,3.7,265,102.77,83.12,221.02,25.39L
4100480,12.20,passenger,2023-09-14,"290, Seattle, WA, 98101",#f5ae4c,92.77788,20.9,16,2.14,154,109.49,76.17,259.2,19.59L
4100481,8.17,passenger,2023-10-27,"935, Dallas, TX, 75001",#603eae,124.37929,26.2,24,4.64,176,98.62,72.84,177.88,26.04L
4100490,11.74,car,2023-08-05,"277, Los Angeles, CA, 90001",#1d1dd8,180.81184,27.5,22,5.5,232,88.65,80.06,244.31,18.48L
4100492,18.66,passenger,2023-09-22,"677, Boston, MA, 02215",#00f5c6,154.05275,26.9,15,4.49,153,90.87,81.35,285.71,15.41L
4100494,17.28,passenger,2023-10-11,"449, Austin, TX, 73301",#2399f2,189.72965,26.5,18,2.84,191,109.55,61.16,274.6,24.82L
4100496,19.37,car,2023-09-28,"940, Austin, TX, 73301",#b8968e,79.9859,28.8,22,4.26,176,87.42,83.73,189.24,13.94L
4100502,7.20,passenger,2023-12-09,"993, Portland, OR, 97035",#aa93d9,140.09008,23.7,22,5.17,200,107.31,84.08,287.76,20.42L
4100503,18.00,car,2023-07-24,"841, Atlanta, GA, 30301",#4cb323,126.13883,25.9,24,5.08,185,103.8,78.12,226.21,6.95L
4100504,18.86,car,2023-12-05,"745, Boston, MA, 02215",#e6fb92,139.88746,20.8,19,2.59,164,107.95,67.84,243.92,29.78L
4100505,7.40,car,2023-08-03,"352, New York City, NY, 10001",#2f3276,46.80829,20.3,28,4.61,177,98.8,67.77,188.94,23.74L
4100507,8.08,passenger,2023-10-11,"955, Seattle, WA, 98101",#08751a,188.15107,26.3,27,2.9,166,97.59,72.26,246.97,9.68L
4100517,3.03,passenger,2023-08-21,"812, Los Angeles, CA, 90001",#b0d46d,105.33205,28.2,23,4.07,214,104.27,62.46,193.4,5.10L
4100519,11.77,car,2023-07-13,"955, Seattle, WA, 98101",#2d4e83,151.93941,19.4,17,1.59,163,106.82,75.76,242.11,20.60L
4100521,3.21,passenger,2023-09-27,"701, Austin, TX, 73301",#2f7f85,62.87428,19.1,22,3.81,211,84.51,85.13,186.31,11.12L
4100523,10.35,car,2023-08-05,"151, Boston, MA, 02215",#0bc994,108.5771,16.8,27,1.91,234,103.78,64.91,213.95,13.55L
4100525,3.16,passenger,2023-09-18,"989, San Francisco, CA, 94016",#ad1ab7,164.38271,20.5,27,1.58,259,82.61,70.75,223.79,12.37L
4100526,8.19,passenger,2023-10-04,"981, New York City, NY, 10001",#1c9b72,48.52109,19.1,22,2.12,241,86.11,89.79,278.23,25.18L
4100529,18.79,passenger,2023-11-05,"386, Seattle, WA, 98101",#e9ddf0,180.96763,15.3,24,1.95,191,99.24,87.79,252.57,6.87L
4100534,17.75,passenger,2023-07-12,"825, San Francisco, CA, 94016",#bea1b4,98.01007,24.6,19,3.79,248,108.62,73.06,239.23,9.59L
4100535,19.66,car,2023-11-24,"615, New York City, NY, 10001",#1d9f7b,65.71112,23.7,19,3.75,174,103.56,62.95,279.87,17.81L
4100536,12.89,car,2023-11-18,"25, Atlanta, GA, 30301",#50c652,117.36657,24.7,27,3.94,186,86.01,61.74,227.59,16.64L
4100537,17.48,car,2023-08-17,"307, Boston, MA, 02215",#9ce2f6,59.63239,23.6,18,5.2,218,108.73,62.36,271.68,19.03L
4100539,16.69,passenger,2023-10-03,"514, Seattle, WA, 98101",#e102ac,129.31538,26.0,22,1.2,278,100.83,72.79,190.12,26.58L
4100541,10.78,car,2023-07-11,"495, New York City, NY, 10001",#efd007,58.29797,27.0,15,1.95,221,97.49,76.29,284.42,5.57L
4100545,7.25,car,2023-10-20,"650, Los Angeles, CA, 90001",#e8b937,34.92223,23.3,24,4.71,206,102.36,63.53,164.74,24.64L
4100547,12.29,car,2023-11-27,"720, Los Angeles, CA, 90001",#cc6b4b,169.73336,27.8,22,2.93,235,104.29,88.12,287.88,17.35L
4100548,10.05,passenger,2023-11-05,"825, San Francisco, CA, 94016",#40531f,32.51356,15.2,21,3.45,235,101.29,71.51,222.21,18.40L
4100549,11.95,car,2023-11-24,"30, Atlanta, GA, 30301",#466758,126.73682,19.8,19,1.77,228,106.7,64.24,178.04,13.57L
4100550,14.47,car,2023-11-09,"181, Boston, MA, 02215",#f154a3,142.6788,21.4,17,3.85,171,88.74,72.62,177.62,29.54L
4100555,16.27,car,2023-10-26,"190, Seattle, WA, 98101",#bfdb69,136.10247,22.1,23,5.4,181,89.71,83.1,235.12,25.89L
4100559,5.49,car,2023-08-28,"491, Los Angeles, CA, 90001",#5136aa,67.97542,28.8,16,1.51,249,86.86,65.98,274.84,23.16L
4100561,19.76,passenger,2023-07-05,"921, San Francisco, CA, 94016",#37a828,40.19719,25.0,23,2.11,239,84.01,70.31,243.92,29.41L
4100564,3.73,car,2023-12-14,"649, Boston, MA, 02215",#282761,166.28814,22.4,21,3.21,276,93.68,78.89,184.64,16.64L
4100565,4.54,car,2023-09-11,"827, Atlanta, GA, 30301",#bb5f38,128.6409,29.3,21,3.69,272,93.05,65.28,207.24,29.94L
4100568,4.81,car,2023-12-03,"75, San Francisco, CA, 94016",#8e4464,183.06691,24.3,26,3.19,151,89.23,65.72,267.61,12.06L
4100578,6.54,car,2023-11-21,"268, Boston, MA, 02215",#fdbb5f,71.6115,18.4,26,4.15,245,90.87,66.9,282.13,13.66L
4100579,13.28,passenger,2023-10-28,"419, Los Angeles, CA, 90001",#4bdf34,132.74729,15.4,23,2.26,250,103.13,71.06,292.55,16.77L
4100589,10.13,passenger,2023-10-01,"824, Atlanta, GA, 30301",#853cb1,79.72432,16.0,25,1.72,201,83.13,76.46,282.07,27.90L
4100590,13.04,passenger,2023-07-26,"383, Austin, TX, 73301",#f428ac,72.57093,20.5,24,5.52,178,93.55,63.99,275.25,20.78L
4100595,8.16,passenger,2023-09-11,"116, San Francisco, CA, 94016",#4599fc,138.73198,28.7,28,3.61,180,80.4,68.84,175.58,15.45L
4100596,3.57,car,2023-12-01,"162, Portland, ME, 04101",#fb4fad,161.89214,19.6,20,5.62,162,105.28,60.66,232.15,29.55L
4100598,5.87,car,2023-07-24,"587, Seattle, WA, 98101",#d84b9f,62.34112,24.9,27,2.18,219,91.11,78.0,257.97,29.61L
4100600,14.92,car,2023-10-19,"79, Atlanta, GA, 30301",#03caec,88.93464,17.8,19,3.17,190,81.96,63.7,270.38,29.51L
4100603,14.38,passenger,2023-08-02,"643, Atlanta, GA, 30301",#f1c839,97.26299,16.9,16,2.21,241,97.23,73.88,287.57,27.12L
4100605,6.65,car,2023-11-14,"474, New York City, NY, 10001",#437029,121.53015,16.3,27,2.0,175,83.0,68.57,285.87,14.41L
4100607,15.86,car,2023-09-20,"97, Los Angeles, CA, 90001",#f05234,183.65974,29.2,21,4.36,229,87.11,76.47,260.55,17.41L
4100610,8.02,car,2023-11-17,"651, Dallas, TX, 75001",#9d6e38,105.6751,24.9,15,1.27,204,106.1,82.07,162.3,29.47L
4100613,15.86,passenger,2023-09-11,"183, Portland, ME, 04101",#a3af8b,92.54139,19.2,26,4.12,187,88.33,82.51,206.45,14.84L
4100615,12.55,car,2023-09-14,"89, New York City, NY, 10001",#cd3751,180.71286,26.1,16,3.93,168,93.53,86.89,174.25,12.19L
4100619,8.86,car,2023-10-12,"361, Boston, MA, 02215",#4fbd13,147.4746,20.3,20,4.63,250,102.72,75.79,259.16,17.29L
4100626,7.49,car,2023-12-05,"875, Boston, MA, 02215",#a9e744,49.34312,20.2,16,2.94,231,102.88,74.1,200.38,16.47L
4100627,6.66,passenger,2023-09-17,"214, San Francisco, CA, 94016",#b08aac,85.79865,22.8,24,3.66,151,105.6,81.67,206.47,17.14L
4100631,7.18,passenger,2023-12-10,"237, Seattle, WA, 98101",#ef0af1,89.7017,20.9,26,2.09,252,81.57,88.0,219.41,9.40L
4100632,4.95,car,2023-08-10,"417, San Francisco, CA, 94016",#176f6e,122.81774,25.4,17,2.01,161,82.63,89.16,262.79,15.91L
4100137,5.36,passenger,2023-08-14,"724, San Francisco, CA, 94016",#3a5913,160.07959,23.7,20,4.6,165,80.91,71.62,293.48,9.85L
4100142,13.08,passenger,2023-07-22,"864, Los Angeles, CA, 90001",#1b5fde,122.72426,28.9,20,2.86,187,108.08,80.9,169.99,27.75L
4100143,8.44,car,2023-08-23,"575, Los Angeles, CA, 90001",#b27e35,68.03369,26.5,28,2.9,177,96.03,88.59,241.57,20.67L
4100146,6.24,car,2023-11-25,"421, New York City, NY, 10001",#51c80a,110.65603,22.8,26,3.47,256,84.06,67.04,172.9,20.54L
4100152,4.13,car,2023-08-04,"709, Austin, TX, 73301",#e2264d,177.5087,22.0,20,1.83,242,86.33,79.19,222.93,24.86L
4100154,17.53,passenger,2023-09-27,"667, New York City, NY, 10001",#22fc39,98.36729,25.6,24,2.71,187,88.06,77.98,173.16,4.07L
4100158,11.18,car,2023-08-04,"490, Atlanta, GA, 30301",#48cb43,42.07308,16.5,27,5.08,217,99.05,85.62,244.91,8.59L
4100159,16.48,car,2023-08-05,"583, Dallas, TX, 75001",#7f28e4,33.19494,21.0,27,3.88,161,94.9,89.96,186.87,13.99L
