Power_perf_factor,Fuel_efficiency,Fuel_capacity,Engine_size,Horsepower,Wheelbase,Width,Length,Price_in_lakhs
184.03689,26.2,24,5.63,270,109.47,74.5,278.16,25.56
186.6939,29.5,15,1.35,228,109.8,72.03,263.23,22.35
97.96639,28.7,26,3.3,231,104.45,68.15,209.78,19.56
75.42068,27.4,28,2.0,200,88.71,76.85,166.37,7.11
130.99258,26.4,16,4.16,173,105.68,66.21,274.87,7.32
117.86885,17.9,21,1.04,223,81.49,89.62,293.23,26.91
144.07874,21.0,24,2.5,253,97.66,62.83,256.15,27.74
164.24673,16.9,17,2.16,247,91.45,75.01,228.75,19.99
110.79556,18.6,17,5.5,231,104.45,79.18,262.03,5.02
78.72729,18.5,16,4.83,183,105.08,72.24,169.21,28.39
159.84032,18.6,27,1.43,275,98.78,70.08,174.33,9.75
83.6247,24.7,19,1.4,224,81.36,80.16,177.88,14.16
189.57686,20.1,19,2.85,259,87.56,71.63,181.58,8.54
69.11192,27.1,20,3.74,276,85.71,70.8,264.1,24.90
119.19754,27.2,25,5.11,226,103.63,65.2,264.57,16.31
118.62359,17.5,26,1.44,235,94.23,61.58,170.52,25.82
103.77045,15.5,16,2.17,180,83.15,83.98,215.3,3.78
127.01277,23.2,19,5.93,218,98.99,61.4,214.17,27.15
48.74865,25.3,19,1.2,159,104.95,80.26,239.91,14.93
128.77171,21.3,15,1.26,186,106.71,61.33,283.07,21.53
72.85832,23.4,18,4.41,277,109.17,74.17,262.03,6.17
96.80592,25.0,23,5.14,175,106.69,67.08,191.97,25.99
87.44196,16.0,27,2.15,228,81.65,74.14,260.42,27.27
60.66246,23.3,28,1.87,243,86.47,80.8,281.9,28.24
38.52947,20.1,21,1.27,271,80.39,63.96,189.66,17.15
129.01886,22.5,23,2.14,159,82.97,69.57,265.01,11.13
33.09688,15.2,24,3.49,253,88.39,61.9,271.46,25.87
185.97775,19.0,19,2.77,255,93.21,71.47,223.65,14.15
163.51963,28.2,20,5.51,184,92.94,64.35,231.31,15.98
44.83741,16.7,25,1.19,237,105.81,60.5,176.75,22.14
65.84375,24.7,16,2.8,251,84.36,70.55,271.28,10.19
64.38747,18.1,16,4.4,248,93.86,65.03,245.99,26.11
91.94168,18.9,15,4.24,215,100.13,69.08,176.54,24.35
105.51746,26.3,26,5.9,170,81.69,62.37,184.0,10.85
64.85778,24.3,22,3.47,277,93.59,80.28,253.55,8.29
164.88763,28.2,26,1.47,262,81.02,82.81,185.11,3.45
90.95798,17.3,24,1.71,227,92.98,74.28,272.28,14.14
186.17912,16.7,17,4.71,202,98.49,60.78,239.62,24.93
77.45115,16.2,28,2.91,165,108.43,61.9,293.62,16.32
95.00356,19.9,22,5.6,168,83.58,67.13,188.84,28.30
51.17184,27.9,27,4.68,155,83.16,69.51,254.01,26.60
99.03863,21.7,22,5.77,209,80.57,62.35,255.24,4.57
39.98553,26.7,22,5.35,217,106.04,67.7,234.5,25.53
55.22331,24.1,23,2.38,172,107.3,73.64,272.23,20.47
95.89027,27.2,23,1.56,169,87.91,61.68,267.41,6.26
109.89934,18.6,15,2.41,223,104.36,64.35,222.49,28.88
178.77992,26.1,15,1.94,201,90.91,73.66,184.26,5.00
158.0406,24.6,21,3.7,265,102.77,83.12,221.02,25.39
92.77788,20.9,16,2.14,154,109.49,76.17,259.2,19.59
124.37929,26.2,24,4.64,176,98.62,72.84,177.88,26.04
180.81184,27.5,22,5.5,232,88.65,80.06,244.31,18.48
154.05275,26.9,15,4.49,153,90.87,81.35,285.71,15.41
189.72965,26.5,18,2.84,191,109.55,61.16,274.6,24.82
79.9859,28.8,22,4.26,176,87.42,83.73,189.24,13.94
140.09008,23.7,22,5.17,200,107.31,84.08,287.76,20.42
126.13883,25.9,24,5.08,185,103.8,78.12,226.21,6.95
139.88746,20.8,19,2.59,164,107.95,67.84,243.92,29.78
46.80829,20.3,28,4.61,177,98.8,67.77,188.94,23.74
188.15107,26.3,27,2.9,166,97.59,72.26,246.97,9.68
105.33205,28.2,23,4.07,214,104.27,62.46,193.4,5.10
151.93941,19.4,17,1.59,163,106.82,75.76,242.11,20.60
62.87428,19.1,22,3.81,211,84.51,85.13,186.31,11.12
108.5771,16.8,27,1.91,234,103.78,64.91,213.95,13.55
164.38271,20.5,27,1.58,259,82.61,70.75,223.79,12.37
48.52109,19.1,22,2.12,241,86.11,89.79,278.23,25.18
180.96763,15.3,24,1.95,191,99.24,87.79,252.57,6.87
98.01007,24.6,19,3.79,248,108.62,73.06,239.23,9.59
65.71112,23.7,19,3.75,174,103.56,62.95,279.87,17.81
117.36657,24.7,27,3.94,186,86.01,61.74,227.59,16.64
59.63239,23.6,18,5.2,218,108.73,62.36,271.68,19.03
129.31538,26.0,22,1.2,278,100.83,72.79,190.12,26.58
58.29797,27.0,15,1.95,221,97.49,76.29,284.42,5.57
34.92223,23.3,24,4.71,206,102.36,63.53,164.74,24.64
169.73336,27.8,22,2.93,235,104.29,88.12,287.88,17.35
32.51356,15.2,21,3.45,235,101.29,71.51,222.21,18.40
126.73682,19.8,19,1.77,228,106.7,64.24,178.04,13.57
142.6788,21.4,17,3.85,171,88.74,72.62,177.62,29.54
136.10247,22.1,23,5.4,181,89.71,83.1,235.12,25.89
67.97542,28.8,16,1.51,249,86.86,65.98,274.84,23.16
40.19719,25.0,23,2.11,239,84.01,70.31,243.92,29.41
166.28814,22.4,21,3.21,276,93.68,78.89,184.64,16.64
128.6409,29.3,21,3.69,272,93.05,65.28,207.24,29.94
183.06691,24.3,26,3.19,151,89.23,65.72,267.61,12.06
71.6115,18.4,26,4.15,245,90.87,66.9,282.13,13.66
132.74729,15.4,23,2.26,250,103.13,71.06,292.55,16.77
79.72432,16.0,25,1.72,201,83.13,76.46,282.07,27.90
72.57093,20.5,24,5.52,178,93.55,63.99,275.25,20.78
138.73198,28.7,28,3.61,180,80.4,68.84,175.58,15.45
161.89214,19.6,20,5.62,162,105.28,60.66,232.15,29.55
62.34112,24.9,27,2.18,219,91.11,78.0,257.97,29.61
88.93464,17.8,19,3.17,190,81.96,63.7,270.38,29.51
97.26299,16.9,16,2.21,241,97.23,73.88,287.57,27.12
121.53015,16.3,27,2.0,175,83.0,68.57,285.87,14.41
183.65974,29.2,21,4.36,229,87.11,76.47,260.55,17.41
105.6751,24.9,15,1.27,204,106.1,82.07,162.3,29.47
92.54139,19.2,26,4.12,187,88.33,82.51,206.45,14.84
180.71286,26.1,16,3.93,168,93.53,86.89,174.25,12.19
147.4746,20.3,20,4.63,250,102.72,75.79,259.16,17.29
49.34312,20.2,16,2.94,231,102.88,74.1,200.38,16.47
85.79865,22.8,24,3.66,151,105.6,81.67,206.47,17.14
89.7017,20.9,26,2.09,252,81.57,88.0,219.41,9.40
122.81774,25.4,17,2.01,161,82.63,89.16,262.79,15.91
160.07959,23.7,20,4.6,165,80.91,71.62,293.48,9.85
122.72426,28.9,20,2.86,187,108.08,80.9,169.99,27.75
68.03369,26.5,28,2.9,177,96.03,88.59,241.57,20.67
110.65603,22.8,26,3.47,256,84.06,67.04,172.9,20.54
177.5087,22.0,20,1.83,242,86.33,79.19,222.93,24.86
98.36729,25.6,24,2.71,187,88.06,77.98,173.16,4.07
42.07308,16.5,27,5.08,217,99.05,85.62,244.91,8.59
33.19494,21.0,27,3.88,161,94.9,89.96,186.87,13.99
108.46303,15.5,26,3.91,271,88.1,74.67,198.93,5.68
105.86335,18.9,18,4.25,163,103.75,61.8,205.47,4.03
179.30606,18.3,16,1.47,279,98.27,72.62,288.22,15.51
113.05757,20.7,15,3.56,241,97.81,84.5,217.34,10.74
47.6214,28.0,17,5.23,271,100.56,64.71,219.78,28.26
180.7309,16.1,17,1.68,230,80.53,87.95,246.92,25.47
173.0803,18.9,17,5.47,224,103.6,64.13,265.63,21.37
159.64912,20.8,26,2.79,156,94.5,69.52,250.5,10.27
175.23216,20.8,25,4.31,252,84.57,71.17,291.22,4.16
141.90786,22.9,18,2.34,215,94.07,86.77,266.02,13.06
39.34866,23.9,15,2.97,237,108.2,72.69,204.55,27.44
109.57836,19.2,20,3.93,193,101.27,84.92,267.83,20.40
103.02615,29.9,19,4.77,206,104.62,79.89,168.01,27.51
143.79775,22.8,24,3.03,199,109.5,86.82,249.0,4.52
36.28915,29.7,24,2.36,154,97.31,89.13,188.72,20.49
177.93361,16.5,27,2.3,228,89.67,68.44,244.3,17.34
156.18716,22.6,18,1.9,227,82.8,75.15,297.33,15.78
148.59838,22.6,16,5.15,240,89.23,61.11,244.67,13.58
59.48067,27.8,28,1.58,267,91.3,68.55,210.7,13.19
41.19407,28.2,16,2.15,171,102.77,79.53,258.39,3.15
67.83046,18.3,17,4.91,163,90.98,73.1,224.95,12.63
43.95473,18.7,22,4.49,238,109.27,67.3,219.58,5.67
100.52658,26.3,23,4.56,233,91.44,68.19,192.8,21.80
69.27349,17.2,25,4.31,264,95.25,65.14,268.28,13.70
52.94424,23.7,26,4.39,158,93.77,77.42,290.24,20.82
55.27496,28.7,27,3.22,227,86.11,75.18,253.56,7.56
130.60581,18.6,24,4.45,178,96.58,76.14,250.27,16.94
45.07083,29.2,20,4.01,179,100.96,66.66,275.27,26.78
44.8616,24.5,25,4.22,155,97.86,87.04,234.99,20.87
100.1224,17.4,22,5.55,206,87.07,79.26,264.11,10.74
42.5848,19.8,23,1.17,201,92.41,62.31,212.26,19.02
60.10284,21.3,21,3.57,180,88.08,76.71,242.14,13.26
161.60916,19.9,21,1.22,159,97.83,79.01,290.67,6.29
60.49922,17.8,22,1.09,258,80.45,66.8,273.82,14.59
52.93473,20.2,28,4.58,214,81.63,62.65,197.69,11.24
92.71212,22.1,28,2.46,260,107.44,75.15,287.49,6.91
147.16705,15.7,16,5.01,242,92.36,64.15,185.4,21.26
51.32267,29.1,21,4.16,242,88.02,76.98,219.39,7.38
133.12878,24.5,20,4.38,218,106.81,67.86,285.05,9.65
75.36155,26.5,18,5.68,164,89.97,61.84,184.14,3.89
186.08522,22.7,16,4.91,215,99.18,79.47,263.84,5.91
33.70104,29.3,25,4.46,246,92.77,71.37,295.65,28.72
159.16867,23.0,18,3.14,233,82.65,68.28,210.63,25.07
80.64639,21.6,24,2.43,169,109.51,62.97,253.52,11.59
60.43394,21.0,20,1.26,167,94.03,60.18,256.37,22.88
142.02186,18.0,23,2.26,224,90.86,84.49,183.7,14.56
186.43896,15.3,23,1.27,274,89.38,71.13,298.22,29.08
179.00289,22.2,24,5.93,275,92.13,68.75,266.69,23.34
30.66655,23.4,16,1.9,171,94.7,71.17,282.85,14.57
32.50755,15.0,16,1.34,247,98.9,87.51,284.16,20.86
67.39063,18.8,20,2.19,238,109.0,88.71,207.37,8.08
49.5107,16.9,17,1.21,162,92.39,75.3,228.05,8.81
90.93661,29.1,23,5.83,253,85.53,68.83,259.13,8.11
117.12952,17.1,17,2.93,204,87.51,70.68,170.98,4.70
175.33456,25.6,20,4.99,245,100.08,87.44,184.38,6.43
43.93194,25.5,24,3.71,203,102.1,60.44,249.56,12.54
70.75632,23.1,20,5.26,246,82.04,61.32,279.94,14.53
112.98838,28.9,21,1.18,151,89.03,88.92,227.99,15.12
54.74719,22.3,22,2.0,224,94.07,62.25,195.35,29.69
174.09977,24.5,20,2.39,254,96.66,78.77,253.49,28.16
112.95076,18.7,18,4.9,200,102.94,83.37,279.36,17.74
71.67497,18.4,25,2.03,251,95.56,83.47,291.62,21.13
187.94212,17.5,28,3.52,220,91.71,64.69,236.04,21.26
58.73423,28.0,24,4.34,217,105.11,70.77,192.94,4.72
66.91132,24.8,27,1.79,201,80.33,62.86,258.43,28.15
162.63899,19.3,26,5.41,202,102.93,61.9,261.46,4.54
76.3429,25.4,20,5.26,255,104.82,67.93,180.38,23.00
63.69821,22.1,22,1.6,224,82.11,60.86,287.41,3.28
100.49184,15.5,18,2.3,215,92.91,75.01,163.0,21.85
78.35041,25.5,28,2.88,159,85.05,61.43,179.98,25.52
64.91323,16.4,15,1.73,254,82.29,64.48,187.92,13.68
162.02215,21.8,25,5.01,219,105.91,74.4,203.5,5.79
102.99014,26.8,24,5.49,265,109.54,70.26,273.2,22.38
137.60923,21.5,18,1.64,237,88.38,81.15,262.12,7.09
162.74017,21.9,18,4.13,226,87.0,61.44,212.53,11.73
126.07141,19.7,27,5.9,225,89.08,74.79,217.38,15.16
70.10962,16.3,23,3.36,180,93.94,86.36,195.39,22.34
119.07447,19.0,25,1.12,271,100.16,87.25,185.21,15.29
147.06282,26.9,24,4.7,160,92.87,88.8,208.94,18.27
166.06776,25.9,23,2.31,200,103.56,68.51,161.86,13.04
47.041,23.0,15,5.57,219,102.52,87.28,171.59,18.42
59.47356,20.8,25,2.85,201,80.32,72.56,242.12,11.43
105.28096,17.0,21,1.26,198,95.92,82.41,286.73,7.18
52.8227,20.7,19,4.73,264,80.67,78.68,189.81,22.35
30.379,29.7,28,2.94,222,107.98,87.6,274.62,28.70
93.10298,26.5,15,1.37,237,88.07,62.44,161.58,25.50
117.26343,15.6,20,4.68,250,96.94,87.09,253.47,13.86
154.89862,28.0,24,1.51,234,93.54,71.09,243.68,25.57
74.3314,22.5,20,3.83,213,81.35,70.93,227.63,25.81
181.7675,28.0,26,4.43,230,88.74,63.13,199.84,23.59
112.26692,19.3,18,3.32,179,90.79,66.9,272.73,20.87
127.22356,27.3,28,1.65,262,107.42,84.32,245.86,6.76
68.21354,23.2,27,4.72,243,86.08,70.84,247.3,21.48
175.38369,23.7,25,2.46,240,84.07,63.98,289.35,9.46
120.90364,25.9,28,3.55,156,98.83,80.79,228.77,14.01
165.19723,24.4,25,1.74,154,98.7,85.74,295.29,29.56
103.02359,19.0,16,4.66,153,86.44,80.13,252.28,23.65
170.60863,17.0,26,1.1,165,107.82,60.6,233.0,12.37
154.31307,22.9,28,2.71,169,92.1,67.65,258.71,5.59
34.77809,21.4,23,4.73,171,91.04,81.84,206.38,19.17
85.7547,20.7,26,1.18,272,100.48,83.63,269.52,18.65
186.16148,15.6,15,4.35,264,92.47,82.24,271.22,15.26
125.98931,21.4,28,3.74,236,89.3,72.73,280.01,15.59
106.1206,28.6,17,1.88,188,108.18,87.12,212.77,3.17
68.48292,18.3,16,4.82,248,107.0,61.43,204.35,5.19
126.15887,29.5,18,1.47,154,80.38,85.16,186.97,26.83
45.02924,28.2,26,2.73,152,95.7,86.39,178.97,21.74
71.04479,24.5,27,3.79,268,104.8,84.78,225.26,17.05
45.21628,15.7,25,2.44,229,97.93,83.33,222.88,15.33
153.68048,18.2,16,3.45,214,104.68,61.26,238.15,26.34
134.19283,22.7,22,1.02,253,106.31,66.9,252.76,28.99
93.92567,26.0,15,2.36,219,103.6,80.0,171.86,9.47
47.31002,15.5,21,3.94,264,81.03,89.18,186.7,3.00
125.33816,16.8,22,1.68,256,99.64,61.74,203.54,5.62
71.01022,26.4,21,4.99,166,84.41,85.21,255.07,17.92
128.12773,26.3,23,4.77,232,80.86,74.34,212.43,15.92
80.2766,17.2,25,2.38,177,80.29,88.24,231.7,4.53
101.55884,26.7,23,3.97,226,93.72,77.12,286.0,11.01
76.74513,29.6,22,1.16,232,100.66,65.66,196.75,13.90
91.56739,18.2,20,2.91,255,103.24,66.72,232.42,12.61
141.19968,22.5,23,5.46,213,81.79,73.96,199.41,28.60
115.9422,26.2,22,3.94,203,92.57,65.77,208.97,5.10
184.92048,17.2,27,4.19,204,109.71,73.04,203.49,29.17
124.17261,23.2,21,2.81,165,105.81,77.41,283.91,20.78
38.2436,17.0,16,4.53,259,83.67,87.88,229.89,12.79
157.24523,29.8,20,2.83,215,108.03,77.44,205.2,28.86
187.34948,19.1,27,2.55,175,92.45,64.11,201.42,20.73
59.5343,17.4,19,1.48,218,97.31,68.33,293.96,14.31
136.49769,25.1,21,5.84,155,101.05,68.79,168.03,26.31
138.62637,20.2,24,5.42,272,109.18,64.02,257.43,24.00
183.50169,20.4,18,3.06,230,107.59,81.75,243.22,24.00
126.69211,26.5,17,5.91,174,89.5,67.48,240.98,15.83
138.08401,21.2,23,4.85,216,108.73,86.45,227.84,23.08
81.00105,21.9,28,5.27,163,100.34,64.33,169.25,6.50
129.61942,18.7,27,1.09,241,94.13,62.35,284.1,27.83
103.35577,22.9,15,4.03,162,108.44,71.8,255.51,20.05
75.82572,15.9,27,4.68,155,81.32,63.55,258.15,20.32
50.06587,27.4,25,1.47,228,100.83,70.53,173.32,27.56
69.83899,23.3,16,3.17,261,102.96,63.6,199.65,18.96
173.29623,16.0,18,4.98,227,104.12,64.88,260.54,4.82
149.366,18.7,23,5.75,273,103.12,79.56,226.07,24.02
171.42012,24.4,21,3.92,195,93.5,80.13,292.06,17.47
148.65864,21.1,20,1.51,265,97.21,61.0,163.11,29.44
94.10535,19.1,16,4.84,249,89.3,63.39,236.73,20.60
77.58476,24.7,16,3.94,176,93.08,71.13,267.31,25.65
118.40317,28.6,24,2.61,245,84.25,85.51,285.89,14.97
124.98253,29.1,28,4.26,159,95.51,81.55,186.04,9.23
116.51167,26.3,19,2.54,199,97.65,63.56,165.22,15.79
170.79133,19.9,17,5.66,160,96.21,65.38,221.05,3.48
51.8366,27.8,19,3.45,173,83.4,85.2,215.1,26.33
72.96423,23.2,18,1.98,247,106.27,76.11,270.22,3.26
142.71314,23.0,24,3.94,203,86.16,63.98,243.9,14.30
53.16265,21.0,23,1.35,278,107.6,87.85,171.89,14.23
159.57878,20.2,19,4.7,197,94.07,74.99,167.64,27.96
155.5666,22.7,24,3.83,241,103.71,84.24,278.5,19.44
122.03293,26.4,15,5.94,246,94.14,85.82,273.91,17.64
153.81967,18.8,26,5.06,219,88.84,61.34,162.22,9.98
133.63718,20.7,21,2.37,274,100.93,78.28,255.89,23.52
155.75828,22.7,20,1.41,150,109.55,65.64,281.31,10.35
137.14964,28.8,19,1.81,191,81.8,66.33,228.97,12.97
146.11182,16.9,28,2.08,240,95.99,69.42,252.74,15.38
78.52313,27.0,19,1.5,235,80.43,83.02,228.55,20.02
51.25202,24.0,16,2.41,217,84.04,70.41,225.43,25.97
85.74892,21.0,27,4.34,154,92.63,85.7,246.19,8.87
102.61193,18.8,22,4.86,193,109.9,80.97,269.41,29.07
80.90638,19.0,21,3.1,192,96.85,87.91,176.62,24.32
90.04242,26.4,21,1.57,222,84.81,89.73,174.75,6.89
58.34553,18.0,16,4.22,150,109.84,85.03,241.01,16.61
117.16241,20.5,27,3.73,224,108.61,68.44,190.89,7.30
94.11484,24.0,25,1.86,244,105.83,75.63,274.12,21.09
55.89573,25.1,18,5.46,228,83.4,79.27,297.58,5.16
131.31432,16.5,19,5.89,179,91.44,78.52,249.53,13.88
42.81858,21.6,19,2.34,176,97.56,74.62,235.75,6.36
126.40385,19.7,28,3.01,177,91.56,70.14,224.91,4.61
119.14191,29.4,22,1.54,218,105.04,62.23,192.48,10.33
164.30855,27.8,19,2.81,237,84.7,73.14,199.44,13.81
148.18231,18.4,19,5.19,249,95.57,77.5,217.69,27.02
119.14188,24.0,26,4.56,210,88.77,89.03,194.38,9.14
86.16911,29.9,23,1.25,251,83.47,75.95,164.11,24.03
60.95158,27.5,24,4.31,190,82.68,80.3,261.98,8.50
52.48546,28.4,25,1.95,157,87.71,62.08,205.99,8.84
106.63889,26.6,27,1.47,235,101.75,61.67,178.75,14.94
175.78296,17.0,22,5.49,157,90.5,84.04,249.42,3.70
148.40333,15.4,22,4.03,226,93.37,65.54,292.01,3.33
160.74081,20.2,15,5.62,223,88.17,68.86,220.91,18.02
158.51986,22.0,17,4.21,275,91.18,84.27,162.29,12.94
86.06613,26.2,26,2.61,263,98.14,70.01,287.83,12.07
173.82072,15.6,23,5.64,253,101.71,68.25,165.85,10.42
160.80247,21.4,20,1.74,164,99.74,88.06,220.81,17.10
41.3735,16.9,20,2.5,212,86.23,87.22,275.7,3.29
44.91999,25.8,24,4.4,215,81.97,77.87,232.63,13.16
186.13345,24.8,23,5.84,234,95.66,89.32,248.2,5.40
186.75051,22.3,22,3.46,150,81.53,84.73,282.43,29.04
121.22696,22.1,22,4.11,165,82.88,85.67,260.48,5.97
94.43398,15.5,21,4.37,163,98.25,76.26,249.39,7.06
105.16425,18.6,24,2.15,273,108.62,80.93,263.11,9.69
176.88658,20.2,16,1.46,165,85.97,68.62,281.12,4.97
102.06653,23.8,18,2.65,270,100.34,60.24,174.12,10.46
171.13802,19.4,16,5.13,191,91.58,62.03,202.27,28.45
57.85429,15.5,20,4.43,230,93.86,71.38,283.72,21.31
40.49917,28.5,26,5.06,247,96.31,60.31,248.94,29.36
169.17578,29.4,16,2.77,268,90.53,72.63,161.29,25.10
155.64716,22.2,16,5.06,203,80.02,76.04,201.75,11.39
52.12103,17.3,25,2.4,223,103.01,67.31,222.81,20.49
137.47973,25.7,22,4.22,191,97.71,75.21,207.56,26.46
133.40742,29.8,28,1.29,220,88.33,68.76,283.58,16.71
113.84711,24.2,18,1.48,194,105.09,79.81,220.69,28.83
138.88246,22.1,17,1.96,237,102.41,82.99,228.29,26.20
86.46634,24.4,21,2.99,247,87.37,84.66,261.54,11.71
97.1953,17.8,25,1.07,185,99.96,66.35,241.97,15.69
46.46472,23.5,16,2.08,235,92.47,84.2,232.93,18.02
75.87216,20.9,20,2.67,185,97.63,87.16,295.83,12.88
46.70686,19.9,21,4.89,209,103.12,62.78,280.87,10.28
128.32136,20.5,25,3.19,255,98.6,66.42,220.67,19.39
165.9888,19.4,23,2.44,249,87.51,67.37,237.99,19.99
176.77062,15.3,25,1.87,195,86.05,88.21,165.06,11.33
36.61608,25.2,20,5.05,188,101.49,81.84,208.0,29.02
130.2835,15.3,26,5.56,193,92.21,62.85,162.41,8.76
116.60152,24.8,15,1.4,213,91.89,85.53,218.95,21.81
50.99552,26.4,26,5.71,233,86.2,62.57,275.61,19.04
169.22512,25.4,20,1.58,168,81.38,61.29,296.43,20.15
92.1735,23.5,25,5.63,215,106.28,85.31,238.08,21.39
183.62178,26.5,22,4.02,252,80.68,60.19,199.91,24.37
75.54717,28.9,17,3.42,277,95.96,67.87,163.05,15.84
34.58119,19.8,25,5.73,262,95.02,63.25,280.91,11.26
189.839,26.3,24,1.87,186,97.33,70.87,276.38,14.47
166.1622,17.7,24,1.13,231,86.58,83.17,186.25,13.62
142.7622,28.7,28,2.86,250,104.92,83.14,295.85,27.92
101.6417,24.5,27,5.65,191,97.54,85.13,233.28,23.64
153.3812,24.5,26,3.14,215,100.33,89.6,184.29,5.00
71.34063,17.3,18,5.77,244,93.6,79.48,165.59,27.45
114.40788,17.9,20,5.88,227,109.08,64.27,186.32,28.69
